SL. No,JOURNAL TITLE,SPECIMEN,SHAPE CODE,Boundary condition,Loading condition,Fy,Fu,E,ν,t,L,bw,bf1,bf2,bl1,bl2,q,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,Ultimate  Buckiling Strength (Mtest),Ultimate  Buckiling Strength (MFEM),Failure Mode,AISI,Eurocode 3,AS/NZS,y,y_from_fem,inconsistent_no_hole_metadata,inconsistent_sx_for_single_hole,geometry_signature,outlier_y_iqr
179,"Zhao et al., 2019",H180r0.4d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,40,40,,9,rectangle,100,72,,3,90,300,300,,23.32,,23.19,,,23.32,True,False,False,649a24c7f6eab732deca4ff380f6e6f3,False
180,"Zhao et al., 2019",H180r0.6d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,40,40,,9,rectangle,100,108,,3,90,300,300,,21.6,,22.34,,,21.6,True,False,False,30cf7b5c08149ccf697034cbecaa5687,False
181,"Zhao et al., 2019",H180r0.8d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,40,40,,9,rectangle,100,144,,3,90,300,300,,19.03,,20.92,,,19.03,True,False,False,4550546d4107089c8c56a7b8aa8af436,False
182,"Zhao et al., 2019",H200r0.2d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,200,80,80,40,40,,6,rectangle,100,40,,3,100,300,300,,16.68,,18.24,,,16.68,True,False,False,34c1bb6d0be54c53de2751ada12ae03d,False
183,"Zhao et al., 2019",H200r0.4d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,200,80,80,40,40,,6,rectangle,100,80,,3,100,300,300,,16.33,,17.95,,,16.33,True,False,False,88771f476c0f4e601b1ad58b957762f4,False
184,"Zhao et al., 2019",H200r0.6d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,200,80,80,40,40,,6,rectangle,100,120,,3,100,300,300,,15.15,,18.03,,,15.15,True,False,False,6944f12f0a95dc522770ea65c45c0f35,False
185,"Zhao et al., 2019",H200r0.8d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,200,80,80,40,40,,6,rectangle,100,160,,3,100,300,300,,14.57,,18.61,,,14.57,True,False,False,ca8fd7f355078ad26e6800fba05d9088,False
186,"Zhao et al., 2019",H200r0.2d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,200,80,80,40,40,,7.5,rectangle,100,40,,3,100,300,300,,22.47,,22.83,,,22.47,True,False,False,b865b4e33dbbfbfcc95e8aa99c2f77c5,False
187,"Zhao et al., 2019",H200r0.4d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,200,80,80,40,40,,7.5,rectangle,100,80,,3,100,300,300,,21.78,,22.51,,,21.78,True,False,False,552904d788c865bbd47be86f4f53ae9b,False
188,"Zhao et al., 2019",H200r0.6d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,200,80,80,40,40,,7.5,rectangle,100,120,,3,100,300,300,,19.96,,21.63,,,19.96,True,False,False,c351fda9992c55baa66cb6d99edcb4f9,False
189,"Zhao et al., 2019",H200r0.8d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,200,80,80,40,40,,7.5,rectangle,100,160,,3,100,300,300,,16.74,,19.93,,,16.74,True,False,False,4478af44f1337f5553ef7a0ba9c071ff,False
190,"Zhao et al., 2019",H200r0.2d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,200,80,80,40,40,,9,rectangle,100,40,,3,100,300,300,,28.05,,27.12,,,28.05,True,False,False,3d1b8fe13b8bf4abf273f98a9f7af896,True
191,"Zhao et al., 2019",H200r0.4d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,200,80,80,40,40,,9,rectangle,100,80,,3,100,300,300,,27.03,,26.73,,,27.03,True,False,False,3e22f5071afd564d229ef936c827f3c2,True
192,"Zhao et al., 2019",H200r0.6d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,200,80,80,40,40,,9,rectangle,100,120,,3,100,300,300,,24.91,,25.68,,,24.91,True,False,False,3b164ecde8890357a415a0579b77a4e0,False
193,"Zhao et al., 2019",H200r0.8d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,40,40,,9,rectangle,100,160,,3,110,300,300,,22.28,,23.64,,,22.28,True,False,False,5a62f459df4f346d321dde95ab61efd5,False
194,"Zhao et al., 2019",H220r0.2d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,220,80,80,40,40,,6,rectangle,100,44,,3,110,300,300,,18.69,,18.3,,,18.69,True,False,False,47b39eff655be61ac84c9bc326fa7111,False
195,"Zhao et al., 2019",H220r0.4d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,220,80,80,40,40,,6,rectangle,100,88,,3,110,300,300,,18.28,,18.46,,,18.28,True,False,False,2d27cde6b0a28b02b9a8c20dad5d4a91,False
196,"Zhao et al., 2019",H220r0.6d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,220,80,80,40,40,,6,rectangle,100,132,,3,110,300,300,,16.27,,18.71,,,16.27,True,False,False,d4faf1ba6159c8615fbda1a4c878391b,False
197,"Zhao et al., 2019",H220r0.8d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,220,80,80,40,40,,6,rectangle,100,176,,3,110,300,300,,14.32,,19.26,,,14.32,True,False,False,569932c96a3c239a00859735b5494a43,False
198,"Zhao et al., 2019",H220r0.2d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,220,80,80,40,40,,7.5,rectangle,100,44,,3,110,300,300,,25.24,,25.98,,,25.24,True,False,False,0987efc39f65579dee490f43935a967a,False
199,"Zhao et al., 2019",H220r0.4d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,220,80,80,40,40,,7.5,rectangle,100,88,,3,110,300,300,,24.46,,25.59,,,24.46,True,False,False,97e623f9a79b9cfd5ae97fdb19216891,False
200,"Zhao et al., 2019",H220r0.6d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,220,80,80,40,40,,7.5,rectangle,100,132,,3,110,300,300,,22.63,,24.53,,,22.63,True,False,False,63bc20c8167694c2841bc1bbb3fc0370,False
201,"Zhao et al., 2019",H220r0.8d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,220,80,80,40,40,,7.5,rectangle,100,176,,3,110,300,300,,19.25,,22.47,,,19.25,True,False,False,dcb7b88eea034e8d21e43db7d504372e,False
203,"Zhao et al., 2019",H220r0.2d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,40,40,,9,rectangle,100,44,,3,110,300,300,,31.57,,30.87,,,31.57,True,False,False,4c326c3408244af41c963ff7ce27df71,True
204,"Zhao et al., 2019",H220r0.4d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,40,40,,9,rectangle,100,88,,3,110,300,300,,30.37,,30.41,,,30.37,True,False,False,4271cdafa5ba1db0181ab710c191cfab,True
205,"Zhao et al., 2019",H220r0.6d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,40,40,,9,rectangle,100,132,,3,110,300,300,,27.99,,29.14,,,27.99,True,False,False,88a7cc302d6e85a5621dffd9b7aa57b7,True
206,"Zhao et al., 2019",H220r0.8d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,40,40,,9,rectangle,100,176,,3,110,300,300,,25.09,,26.67,,,25.09,True,False,False,51a5e602ebc4cd08f7534636df8c901e,False
207,Soroori Rad 2010,800 S 200-33-100-1-1,C,Pinned and roller,four point loading,356,409.4,200000,0.3,0.824,4877,203.38,49.05,47.83,11.71,11.66,,3.77,no_hole,,,,,,,,5.45,,,,,,5.45,False,False,False,705e12c07b31bcec5bf70138f34ecb0c,False
208,Soroori Rad 2011,800 S 200-33-100-1-2,C,Pinned and roller,four point loading,356,409.4,200000,0.3,0.827,4877,203.61,49,47.83,11.66,11.51,,3.575,no_hole,,,,,,,,5.38,,,,,,5.38,False,False,False,98c16b87c0ee225693e2fefcac3d6bb1,False
209,Soroori Rad 2011,800 S 200-33-100-2-1,C,Pinned and roller,four point loading,356,409.4,200000,0.3,0.82,4877,203.61,48.77,47.65,11.53,11.13,,3.0775,no_hole,,,,,,,,5.64,,,,,,5.64,False,False,False,cdbc88de922c87c44c3cc5d45867d1e7,False
210,Soroori Rad 2011,800 S 200-33-100-2-2,C,Pinned and roller,four point loading,356,409.4,200000,0.3,0.827,4877,203.53,49.17,47.65,11.86,11.18,,3.6725,no_hole,,,,,,,,5.44,,,,,,5.44,False,False,False,b84bf9f668a161f6462cc3c47a3c962e,False
211,Soroori Rad 2011,800 S 200-33-95-2-1,C,Pinned and roller,four point loading,356,409.4,200000,0.3,0.825,4877,203.86,48.9,47.45,11.56,11.56,,3.575,square,152.4,103.6,,3,101.93,1981,457,5.46,,,,,,5.46,False,False,False,ff71c09048761bd2bda2c7d17cc422d8,False
212,Soroori Rad 2011,800 S 200-33-95-2-2,C,Pinned and roller,four point loading,360,413.99999999999994,200000,0.3,0.82,4877,203.71,49.3,47.22,11.46,11.81,,3.4775,square,152.4,103.7,,3,101.855,1981,457,5.48,,,,,,5.48,False,False,False,943ef4f81ca3be80110eb0b9f4882378,False
213,Soroori Rad 2011,800 S 200-33-90-2-1,C,Pinned and roller,four point loading,369,424.34999999999997,200000,0.3,0.83,4877,203.84,48.84,47.96,11.84,11.4,,3.6725,square,152.4,131.9,,3,101.92,1981,457,5.55,,,,,,5.55,False,False,False,44c4f0c71ab418c70da315653c6a003e,False
214,Soroori Rad 2011,800 S 200-33-90-2-2,C,Pinned and roller,four point loading,367,422.04999999999995,200000,0.3,0.817,4877,203.89,48.82,47.65,11.63,11.66,,3.275,square,152.4,130.9,,3,101.945,1981,457,5.44,,,,,,5.44,False,False,False,c88048f5db1a149fdc990caf91a42937,False
215,Soroori Rad 2011,800 S 200-33-85-2-1,C,Pinned and roller,four point loading,363,417.45,200000,0.3,0.831,4877,203.38,48.79,47.73,11.79,11.61,,3.575,square,152.4,148.9,,3,101.69,1981,457,5.5,,,,,,5.5,False,False,False,df313f4a920d3d87282d61929f24ea28,False
216,Soroori Rad 2011,800 S 200-33-85-2-2,C,Pinned and roller,four point loading,367,422.04999999999995,200000,0.3,0.813,4877,203.48,49.05,47.65,11.79,11.99,,3.5725,square,152.4,149.3,,3,101.74,1981,457,5.33,,,,,,5.33,False,False,False,d8be40bf71dcfac371e9cc84b7c3afe5,False
217,Soroori Rad 2011,800 S 200-33-95-1-1,C,Pinned and roller,four point loading,325,373.74999999999994,200000,0.3,1.09,4877,204.83,49.02,49.12,12.34,11.56,,3.375,square,152.4,104.4,,3,102.415,1981,457,5.48,,,,,,5.48,False,False,False,bf8ba4c507baa910a415231ac28728cc,False
218,Soroori Rad 2011,800 S 200-33-95-1-2,C,Pinned and roller,four point loading,325,373.74999999999994,200000,0.3,1.093,4877,204.62,48.72,48.87,12.17,11.58,,3.5725,square,152.4,104.1,,3,102.31,1981,457,5.57,,,,,,5.57,False,False,False,2cd786de8a06a406233ddc2051bfadea,False
219,Soroori Rad 2011,800 S 200-33-90-1-1,C,Pinned and roller,four point loading,322,370.29999999999995,200000,0.3,1.093,4877,204.75,49.05,49.02,12.14,11.58,,3.4725,square,152.4,131.1,,3,102.375,1981,457,5.55,,,,,,5.55,False,False,False,bf2cba5a84a9e83270124285ae339f49,False
220,Soroori Rad 2011,800 S 200-33-90-1-2,C,Pinned and roller,four point loading,322,370.29999999999995,200000,0.3,1.096,4877,204.83,49.53,48.21,12.47,11.43,,3.4725,square,152.4,131,,3,102.415,1981,457,5.55,,,,,,5.55,False,False,False,86e7681b3f1ab6ffb4db02d7cf30c5fc,False
221,Soroori Rad 2011,800 S 200-33-85-1-1,C,Pinned and roller,four point loading,364,418.59999999999997,200000,0.3,1.09,4877,204.72,49.3,48.69,12.62,11.15,,3.6725,square,152.4,149.9,,3,102.36,1981,457,5.28,,,,,,5.28,False,False,False,6266082af92d23681997bdfdbe35056a,False
222,Soroori Rad 2011,800 S 200-33-85-1-2,C,Pinned and roller,four point loading,362,416.29999999999995,200000,0.3,1.106,4877,206.68,48.84,48.39,11.13,11.1,,3.575,square,152.4,146.8,,3,103.34,1981,457,5.35,,,,,,5.35,False,False,False,91278314a5161f8f34615e9c4fbf7631,False
223,Soroori Rad 2011,1000 S 162-54-100-1-1,C,Pinned and roller,four point loading,368,423.2,200000,0.3,1.34,4877,255.3,41.43,38.33,11.25,10.24,,3.87,no_hole,,,,,,,,11.11,,,,,,11.11,False,False,False,fc3803f38d15d18463826b1035c5b84c,False
224,Soroori Rad 2011,1000 S 162-54-100-1-2,C,Pinned and roller,four point loading,371,426.65,200000,0.3,1.336,4877,255.12,41.43,38.46,11.2,10.29,,3.87,no_hole,,,,,,,,11.04,,,,,,11.04,False,False,False,27450b77d1c61b5740a3a365d0a22d10,False
225,Soroori Rad 2011,1000 S 162-54-100-2-1,C,Pinned and roller,four point loading,369,424.34999999999997,200000,0.3,1.328,4877,255.32,40.97,38.99,11.13,10.39,,3.87,no_hole,,,,,,,,10.5,,,,,,10.5,False,False,False,89a95f49e2af093869d81a1445223ccb,False
226,Soroori Rad 2011,1000 S 162-54-100-2-2,C,Pinned and roller,four point loading,369,424.34999999999997,200000,0.3,1.332,4877,255.14,41,38.1,11.38,9.93,,4.07,no_hole,,,,,,,,10.6,,,,,,10.6,False,False,False,39520a704eed7eecba32806c90a36574,False
227,Soroori Rad 2011,1000 S 162-54-100-3-1,C,Pinned and roller,four point loading,358,411.7,200000,0.3,1.339,4877,255.37,41.71,38.07,11.4,10.39,,3.87,no_hole,,,,,,,,10.26,,,,,,10.26,False,False,False,545767d34ca08f7afc55e7eb53319c88,False
228,Soroori Rad 2011,1000 S 162-54-100-3-2,C,Pinned and roller,four point loading,358,411.7,200000,0.3,1.335,4877,255.14,41.28,38.23,11.25,10.01,,3.87,no_hole,,,,,,,,10.42,,,,,,10.42,False,False,False,68e1ceefdbba1b1a8f7f836f61dbba7b,False
229,Soroori Rad 2011,1000 S 162-54-95-1-1,C,Pinned and roller,four point loading,355,408.24999999999994,200000,0.3,1.341,4877,255.24,41.05,38.51,11.13,10.03,,3.87,square,152.4,119.1,,3,127.62,1981,457,11.06,,,,,,11.06,False,False,False,5110a5350cd217d443bae2a6cdecdc76,False
230,Soroori Rad 2011,1000 S 162-54-95-1-2,C,Pinned and roller,four point loading,395,454.24999999999994,200000,0.3,1.339,4877,255.32,41.17,38.58,11.07,10.19,,3.87,square,152.4,119.3,,3,127.66,1981,457,11.08,,,,,,11.08,False,False,False,71fc1c7811cef118b1ed201ba9d1d380,False
231,Soroori Rad 2011,1000 S 162-54-95-2-1,C,Pinned and roller,four point loading,354,407.09999999999997,200000,0.3,1.339,4877,255.42,41.25,38.61,10.95,10.11,,3.87,square,152.4,119.2,,3,127.71,1981,457,10.93,,,,,,10.93,False,False,False,6f37abe3f2fff792efc589e6a88d6692,False
232,Soroori Rad 2011,1000 S 162-54-95-2-2,C,Pinned and roller,four point loading,363,417.45,200000,0.3,1.331,4877,255.32,41.02,38.38,10.95,10.13,,3.67,square,152.4,119.2,,3,127.66,1981,457,10.88,,,,,,10.88,False,False,False,b5dd7d97af161f3122b1be8da75999a5,False
233,Soroori Rad 2011,1000 S 162-54-95-3-1,C,Pinned and roller,four point loading,369,424.34999999999997,200000,0.3,1.337,4877,255.45,41.17,38.63,11.23,10.19,,3.67,square,152.4,119.5,,3,127.725,1981,457,10.59,,,,,,10.59,False,False,False,b4ecdaf1eaf2d0b2580114e6f7bb038f,False
234,Soroori Rad 2011,1000 S 162-54-95-3-2,C,Pinned and roller,four point loading,364,418.59999999999997,200000,0.3,1.334,4877,255.4,41.1,38.53,10.9,10.19,,3.67,square,152.4,119.3,,3,127.7,1981,457,11.12,,,,,,11.12,False,False,False,40a5921c555160dec5da97762e1a4d0b,False
235,Soroori Rad 2011,1000 S 162-54-90-1-1,C,Pinned and roller,four point loading,352,404.79999999999995,200000,0.3,1.338,4877,255.07,40.89,38.4,11.43,9.98,,3.77,square,152.4,150.1,,3,127.535,1981,457,10.56,,,,,,10.56,False,False,False,eb99189e9461693b025b93d7019082f6,False
236,Soroori Rad 2011,1000 S 162-54-90-1-2,C,Pinned and roller,four point loading,356,409.4,200000,0.3,1.33,4877,255.27,40.94,38.79,10.29,11.25,,3.87,square,152.4,150.1,,3,127.635,1981,457,10.56,,,,,,10.56,False,False,False,958c9b4f9cc40a32d6bd6dbb1efb273b,False
237,Soroori Rad 2011,1000 S 162-54-90-2-1,C,Pinned and roller,four point loading,351,403.65,200000,0.3,1.35,4877,255.27,41.05,38.33,11.15,10.31,,3.87,square,152.4,150,,3,127.635,1981,457,10.62,,,,,,10.62,False,False,False,4781086a2f3bc6d8fba4e93657dba767,False
238,Soroori Rad 2011,1000 S 162-54-90-2-2,C,Pinned and roller,four point loading,356,409.4,200000,0.3,1.34,4877,255.22,41.1,38.84,11.28,10.08,,3.87,square,152.4,150.1,,3,127.61,1981,457,10.67,,,,,,10.67,False,False,False,388d27609078f2e6a61a32afa4a88b9f,False
239,Soroori Rad 2011,1000 S 162-54-90-3-1,C,Pinned and roller,four point loading,348,400.2,200000,0.3,1.343,4877,255.3,41.55,38.89,11.46,10.01,,3.97,square,152.4,150.5,,3,127.65,1981,457,11.1,,,,,,11.1,False,False,False,3e954ebf12f00f0690f6916660bc0880,False
240,Soroori Rad 2011,1000 S 162-54-90-3-2,C,Pinned and roller,four point loading,348,400.2,200000,0.3,1.345,4877,255.12,41.68,39.29,11.35,9.88,,3.87,square,152.4,150.4,,3,127.56,1981,457,10.97,,,,,,10.97,False,False,False,14cb077c20ebef262e60e60fcac4631e,False
241,Soroori Rad 2011,1000 S 162-54-85-1-1,C,Pinned and roller,four point loading,353,405.95,200000,0.3,1.343,4877,255.24,41.05,38.2,11.13,10.13,,3.87,square,152.4,171.5,,3,127.62,1981,457,10.6,,,,,,10.6,False,False,False,bb08ace2a046fd3229652b122d850398,False
242,Soroori Rad 2011,1000 S 162-54-85-1-2,C,Pinned and roller,four point loading,408,469.2,200000,0.3,1.346,4877,255.24,41.05,38.2,11.13,10.13,,3.8675,square,152.4,171.9,,3,127.62,1981,457,11.38,,,,,,11.38,False,False,False,0df553b8145b9bde74c1ff50ecb6e244,False
243,Soroori Rad 2011,1000 S 162-54-85-2-1,C,Pinned and roller,four point loading,362,416.29999999999995,200000,0.3,1.343,4877,255.35,41.53,39.12,11.3,10.24,,3.87,square,152.4,172.1,,3,127.675,1981,457,10.61,,,,,,10.61,False,False,False,99734043a99cd35c482f7849eecdad3f,False
244,Soroori Rad 2011,1000 S 162-54-85-2-2,C,Pinned and roller,four point loading,358,411.7,200000,0.3,1.338,4877,255.14,41.45,38.38,10.85,11.51,,3.87,square,152.4,172.1,,3,127.57,1981,457,10.61,,,,,,10.61,False,False,False,0315e1329c5d13bb9e8d31b8ef168318,False
245,Soroori Rad 2011,1000 S 162-54-85-3-1,C,Pinned and roller,four point loading,360,413.99999999999994,200000,0.3,1.342,4877,255.04,41.68,38.23,11.28,10.16,,3.87,square,152.4,171.8,,3,127.52,1981,457,10.78,,,,,,10.78,False,False,False,c1a8f6ba59050b40b37bf66a4e085f9b,False
246,Soroori Rad 2011,1000 S 162-54-85-3-2,C,Pinned and roller,four point loading,358,411.7,200000,0.3,1.347,4877,255.4,41.63,38.05,11.4,10.21,,3.87,square,152.4,172,,3,127.7,1981,457,10.84,,,,,,10.84,False,False,False,22528ced53ba9d0eaf9d95130c60f54f,False
247,Soroori Rad 2011,1200 S 162-68-100-1-1,C,Pinned and roller,four point loading,367,422.04999999999995,200000,0.3,2.556,4877,305.28,42.19,40.34,11.51,12.01,,5.4575,no_hole,,,,,,,,27.29,,,,,,27.29,False,False,False,c1df51f72b630d7b219cd6d6250d1171,True
248,Soroori Rad 2011,1200 S 162-68-100-1-2,C,Pinned and roller,four point loading,370,425.49999999999994,200000,0.3,2.558,4877,305.23,42.04,40.61,11.2,12.5,,5.36,no_hole,,,,,,,,27.55,,,,,,27.55,False,False,False,eb965ce75a9a71273152e4404da4ddac,True
249,Soroori Rad 2011,1200 S 162-68-100-2-1,C,Pinned and roller,four point loading,363,417.45,200000,0.3,2.538,4877,305.26,42.29,40.21,10.26,12.12,,5.4575,no_hole,,,,,,,,27.66,,,,,,27.66,False,False,False,520f39b8b86ab00609b718694826886e,True
250,Soroori Rad 2011,1200 S 162-68-100-2-2,C,Pinned and roller,four point loading,359,412.84999999999997,200000,0.3,2.565,4877,298.02,42.04,41.94,11.53,11.84,,5.56,no_hole,,,,,,,,25.9,,,,,,25.9,False,False,False,e788691828f027e5fa4852dd61e811cd,False
251,Soroori Rad 2011,1200 S 162-68-100-3-1,C,Pinned and roller,four point loading,369,424.34999999999997,200000,0.3,2.535,4877,305.1,42.9,40.87,10.85,12.27,,5.4575,no_hole,,,,,,,,27.55,,,,,,27.55,False,False,False,7d56f110c5be10eb37096342cdf4bf85,True
252,Soroori Rad 2011,1200 S 162-68-100-3-2,C,Pinned and roller,four point loading,369,424.34999999999997,200000,0.3,2.563,4877,301.47,41.73,43.61,10.92,11.96,,5.3575,no_hole,,,,,,,,27.79,,,,,,27.79,False,False,False,2427c288e6018645b6256de511a2a606,True
253,Soroori Rad 2011,1200 S 162-68-95-1-1,C,Pinned and roller,four point loading,364,418.59999999999997,200000,0.3,2.542,4877,305.13,43.05,41.55,12.42,12.83,,5.3575,square,152.4,139.1,,3,152.565,1981,457,27.41,,,,,,27.41,False,False,False,7fd65aa3d49ac5fc19624d6641364e2d,True
254,Soroori Rad 2011,1200 S 162-68-95-1-2,C,Pinned and roller,four point loading,379,435.84999999999997,200000,0.3,2.533,4877,305.21,42.34,42.01,12.47,12.5,,5.3575,square,152.4,138.9,,3,152.605,1981,457,27.58,,,,,,27.58,False,False,False,2697c346254f6421bd2a2589defdf612,True
255,Soroori Rad 2011,1200 S 162-68-95-2-1,C,Pinned and roller,four point loading,369,424.34999999999997,200000,0.3,2.532,4877,305.59,42.42,43.51,12.83,11.38,,5.3575,square,152.4,139,,3,152.795,1981,457,28.05,,,,,,28.05,False,False,False,9e34cfabccd629f8f6a1f34eb4996f2c,True
256,Soroori Rad 2011,1200 S 162-68-95-2-2,C,Pinned and roller,four point loading,369,424.34999999999997,200000,0.3,2.543,4877,305.36,42.14,43.08,11.66,10.29,,5.3575,square,152.4,138,,3,152.68,1981,457,28.96,,,,,,28.96,False,False,False,a9f3de89d71ddd1fd5394acb0cc9063e,True
257,Soroori Rad 2011,1200 S 162-68-95-3-1,C,Pinned and roller,four point loading,372,427.79999999999995,200000,0.3,2.558,4877,305.97,42.55,41.53,12.5,10.59,,5.3575,square,152.4,138.4,,3,152.985,1981,457,28.73,,,,,,28.73,False,False,False,00cfd8e4d55bc8a74b4070be2a6f957c,True
258,Soroori Rad 2011,1200 S 162-68-95-3-2,C,Pinned and roller,four point loading,381,438.15,200000,0.3,2.554,4877,305.28,42.77,42.19,12.83,12.65,,5.3575,square,152.4,138.9,,3,152.64,1981,457,29.21,,,,,,29.21,False,False,False,1df5b04dc5e6338d3a031cfd994eb8a5,True
259,Soroori Rad 2011,1200 S 162-68-90-1-1,C,Pinned and roller,four point loading,359,412.84999999999997,200000,0.3,2.552,4877,305.18,42.85,40.59,12.17,11.25,,5.36,square,152.4,150,,3,152.59,1981,457,27.1,,,,,,27.1,False,False,False,915d2b55c5dc472a513619f9a8ebf4e9,True
260,Soroori Rad 2011,1200 S 162-68-90-1-2,C,Pinned and roller,four point loading,367,422.04999999999995,200000,0.3,2.559,4877,305.33,42.27,40.84,11.28,12.29,,5.26,square,152.4,150,,3,152.665,1981,457,27.5,,,,,,27.5,False,False,False,1a2c38b5c4914514fb7490a06dc85adf,True
261,Soroori Rad 2011,1200 S 162-68-90-2-1,C,Pinned and roller,four point loading,376,432.4,200000,0.3,2.6,4877,305.44,42.62,40.59,11.58,11.96,,5.3575,square,152.4,150,,3,152.72,1981,457,26.82,,,,,,26.82,False,False,False,c61a1b66dafed5d2bbe4bc1db2f7308d,True
262,Soroori Rad 2011,1200 S 162-68-90-2-2,C,Pinned and roller,four point loading,375,431.24999999999994,200000,0.3,2.583,4877,305.08,41.5,40.94,11.51,11.3,,4.96,square,152.4,150,,3,152.54,1981,457,27.53,,,,,,27.53,False,False,False,f25c2c065137ae384da4c4b168c5c77c,True
263,Soroori Rad 2011,1200 S 162-68-90-3-1,C,Pinned and roller,four point loading,375,431.24999999999994,200000,0.3,2.557,4877,305.1,42.09,40.77,11.02,12.01,,5.3575,square,152.4,150,,3,152.55,1981,457,27.83,,,,,,27.83,False,False,False,957547fbe001f8745f70ae1ebd8324c6,True
264,Soroori Rad 2011,1200 S 162-68-90-3-2,C,Pinned and roller,four point loading,380,436.99999999999994,200000,0.3,2.565,4877,304.8,41.78,40.13,11.13,12.09,,5.3575,square,152.4,150,,3,152.4,1981,457,27.84,,,,,,27.84,False,False,False,49b9e9653552316b2fd355fc0dc9feee,True
265,Soroori Rad 2011,1200 S 162-68-85-1-1,C,Pinned and roller,four point loading,387,445.04999999999995,200000,0.3,2.548,4877,305.08,41.94,40.77,11.23,11.96,,5.3575,square,152.4,172,,3,152.54,1981,457,27.03,,,,,,27.03,False,False,False,2aace3eaf7c92ace1aa56548d7e0bbbc,True
266,Soroori Rad 2011,1200 S 162-68-85-1-2,C,Pinned and roller,four point loading,391,449.65,200000,0.3,2.564,4877,305.49,44.32,40.46,11.51,11.13,,5.3575,square,152.4,171,,3,152.745,1981,457,28.47,,,,,,28.47,False,False,False,66a655085eb8df4cae6e7c7f3713f1b8,True
267,Soroori Rad 2011,1200 S 162-68-85-2-1,C,Pinned and roller,four point loading,383,440.45,200000,0.3,2.549,4877,305.61,41.35,42.7,11.35,11.76,,5.3575,square,152.4,174,,3,152.805,1981,457,28.47,,,,,,28.47,False,False,False,e05ab4a92183e1f2979163ba00773c8e,True
268,Soroori Rad 2011,1200 S 162-68-85-2-2,C,Pinned and roller,four point loading,388,446.2,200000,0.3,2.531,4877,304.98,40.69,42.11,10.87,12.83,,5.3575,square,152.4,173,,3,152.49,1981,457,27.61,,,,,,27.61,False,False,False,754a1c90134ab5b37f9fb06efe0caf3c,True
269,Soroori Rad 2011,1200 S 162-68-85-3-1,C,Pinned and roller,four point loading,400,459.99999999999994,200000,0.3,2.576,4877,305.18,41.86,41.76,11.53,12.47,,5.3575,square,152.4,174,,3,152.59,1981,457,29.35,,,,,,29.35,False,False,False,8c061792dd22b76e0f24c88cc54a682a,True
270,Soroori Rad 2011,1200 S 162-68-85-3-2,C,Pinned and roller,four point loading,384,441.59999999999997,200000,0.3,2.579,4877,305.05,42.04,42.16,11.4,11.1,,5.3575,square,152.4,172,,3,152.525,1981,457,28.56,,,,,,28.56,False,False,False,80d4a3242c65b5d9519d3089ef1e9c1f,True
271,"Chandramohan et al., 2025",C240-L4000-EEH1-D0.4-B2,C,Pinned and roller,four point loading,347,424.6,200000,0.3,1.83,4000,240,65,65,15,15,,5.49,elongated,192,96,48,1,120,2000,,,11.21,Lateral-torsional+Local,,,,11.21,True,False,False,dbea8d54260120b55ccb167468cfd0a3,False
