SL. No,JOURNAL TITLE,SPECIMEN,SHAPE CODE,Boundary condition,Loading condition,Fy,Fu,E,ν,t,L,bw,bf1,bf2,bl1,bl2,q,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,Ultimate  Buckiling Strength (Mtest),Ultimate  Buckiling Strength (MFEM),Failure Mode,AISI,Eurocode 3,AS/NZS,y,y_from_fem,inconsistent_no_hole_metadata,inconsistent_sx_for_single_hole,geometry_signature,outlier_y_iqr
29," Chen et al.,2020",240-L4000-UH5,C,Pinned and roller,four point loading,332.8,430.5,200000,0.3,1.81,4000.1,239.6,44.9,44.9,15.9,15.9,,5.43,circle,,,70.3,5,119.8,2000,190,10.2,11.39,Distortional and local,,,,10.2,False,False,False,d263110a30e4d5f02591df56459e2e0d,False
30," Chen et al.,2020",290-L4000-UH1,C,Pinned and roller,four point loading,330.7,415.8,200000,0.3,2.16,4001.8,290.9,45.9,45.9,14.9,14.9,,6.48,circle,,,70.75,1,145.45,2000,,16.7,18.61,Distortional and local,,,,16.7,False,False,False,fc11e03252d7511759b62d76e00bd446,False
31," Chen et al.,2020",290-L4000-UH3,C,Pinned and roller,four point loading,330.7,430.5,200000,0.3,2.11,4001.5,290,45.3,45.3,15.1,15.1,,6.33,circle,,,70.95,3,145,2000,240,16.3,17.57,Distortional and local,,,,16.3,False,False,False,31fc77fe5c4443daa4ac1411b15571d9,False
32," Chen et al.,2020",290-L4000-UH5,C,Pinned and roller,four point loading,330.7,415.8,200000,0.3,2.1,4000.7,290.5,44.8,44.8,15.7,15.7,,6.3,circle,,,70.1,5,145.25,2000,190,15.7,17.48,Distortional and local,,,,15.7,False,False,False,015dcca58db7da79b1474666ff2a7d16,False
33,Oruç 1 2025,NH− 1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,no_hole,,,,,,,,11.57,11.33,Local buckling,,,,11.57,False,False,False,69d946084712d392e94623e741d89881,False
34,Oruç 1 2025,SQR_1_0.28_0_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,50,50,,1,90,650,,11.18,10.97,Local buckling,,,,11.18,False,False,False,f6c32028d19a17b171e9850697d1769a,False
35,Oruç 1 2025,SQR_1_0.28_400_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,50,50,,2,90,425,450,11.17,10.98,Local buckling,,,,11.17,False,False,False,22b85a822919b728895138dfe1e4c600,False
36,Oruç 1 2025,SQR_1_0.28_800_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,50,50,,2,90,225,850,11.2,10.57,Local buckling,,,,11.2,False,False,False,4075bda634bbb489d73a1228d7946c05,False
37,Oruç 1 2025,SQR_1_0.28_1000_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,50,50,,2,90,125,1050,11.5,10.58,Local buckling,,,,11.5,False,False,False,84ec8b2c17617a95b6dd9803a501b95e,False
38,Oruç 1 2025,SQR_1_0.56_0_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,100,100,,1,90,625,,9.88,10.26,Local buckling,,,,9.88,False,False,False,a43bf721abeafb019b08f33440bef1a5,False
