SL. No,SPECIMEN,JOURNAL TITLE,geometry_signature,y,y_from_fem,replicate_count
109,SQR_1_0.78_0_3.5,Oruç 1 2025,70f6b98f677efb9b611482f7f728cb20,17.24,True,1
110,SQR_1_0.78_0_4,Oruç 1 2025,69fc9f59d9aee9de2580e988dcbcb306,19.93,True,1
111,SQR_1_0.89_0_0.5,Oruç 1 2025,1fd409165a46aff86753811e02b8d41e,1.01,True,1
112,SQR_1_0.89_0_1,Oruç 1 2025,0b70e10618517fe44ada3cdfe182581d,2.69,True,1
113,SQR_1_0.89_0_1.5,Oruç 1 2025,34d66b6cd095e694b3a7d816cecf4ac3,5.14,True,1
114,SQR_1_0.89_0_2.5,Oruç 1 2025,0b5e413bb6ffe7a1bd58495311c29eca,9.47,True,1
115,SQR_1_0.89_0_3,Oruç 1 2025,2edf379f2b985778b44862035ab7bc02,11.74,True,1
116,SQR_1_0.89_0_3.5,Oruç 1 2025,189b9e5d2c7b5411b96af6e7726e4eab,14.14,True,1
117,SQR_1_0.89_0_4,Oruç 1 2025,30b6af14d61eb75611cf466781b344ab,16.74,True,1
118,H200r0d20t2.0-1,"Zhao et al., 2019",36ca7337e454fbfe520b2da73acd9887,15.227,False,1
119,H200r0d20t2.0-2,"Zhao et al., 2019",8e1e4da00ae1b8db1c3f421ab9aa7eb9,15.227,False,1
120,H200r0.2d20t2.0-1,"Zhao et al., 2019",7f89dfae3d7bb53ad33c5263a4f577a6,14.315,False,1
121,H200r0.2d20t2.0-2,"Zhao et al., 2019",f221044dcaf53b162ae2a832e2b67911,14.315,False,1
122,H200r0.4d20t2.0-1,"Zhao et al., 2019",b5fd3504f052845382bbc7c6624503fe,14.168,False,1
123,H200r0.4d20t2.0-2,"Zhao et al., 2019",9d926c71938c04c9780e1e6abad02266,14.168,False,1
124,H200r0.6d20t2.0-1,"Zhao et al., 2019",f89240913bfab5a20448ebdedf54cf20,13.8,False,1
125,H200r0.6d20t2.0-2,"Zhao et al., 2019",748f8918ab589ce4a490dc88a09a083c,13.8,False,1
126,H200r0.8d20t2.0-1,"Zhao et al., 2019",06322c5a086d500794da26efc59975da,13.271,False,1
127,H200r0.8d20t2.0-2,"Zhao et al., 2019",f39d668db8494166b128af54941f5b7d,13.271,False,1
128,H200r0d40t2.0-1,"Zhao et al., 2019",765aa3e6563b346296bb47d1021ee59b,17.404,False,1
129,H200r0d40t2.0-2,"Zhao et al., 2019",068ae09fcf72455eb2228eedd6143d4f,17.404,False,1
130,H200r0.2d40t2.0-1,"Zhao et al., 2019",d1cac1256a4660955a1a3951dc3a630a,16.684,False,1
