JOURNAL TITLE,geometry_signature,Fy,Fu,E,t,L,bw,bf1,bf2,bl1,bl2,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,target_mean,target_std,replicate_count
"Chandramohan et al., 2025",7a5b9a94283420d8345ade98fccb8343,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,240,120,60,3,120,3000,,11.2575,0.623290996779728,4
"Chandramohan et al., 2025",7c92c4df9bd7cd02299e19fe67d53071,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,288,96,48,3,120,2502,498,10.8475,1.0850921619844085,4
"Chandramohan et al., 2025",7c9b7f765badf7e1cb8f51e35f011395,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,290,116,58,3,145,2505,495,16.6925,1.096095342568336,4
"Chandramohan et al., 2025",806dd35b8cdadc4f4ba02e0cf8b5a056,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,360,144,72,3,120,2610,390,9.26,0.7340753821418246,4
"Chandramohan et al., 2025",8a6cb5e45e812e6685d0515a9e457183,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,348,116,58,1,145,3000,,16.4575,1.0924399296986544,4
"Chandramohan et al., 2025",963c279579687325cf65d7816d746cda,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,288,96,48,1,120,3048,,11.157499999999999,0.8051656144338666,4
"Chandramohan et al., 2025",a9c9456452c123728eaef475c3bd517a,347,424.6,200000,2.11,4000,290,65,65,15,15,6.33,elongated,362.5,145,72.5,1,145,2000,,18.04,1.228901948895842,4
"Chandramohan et al., 2025",aa1c6d696208367d9a2169f48101faff,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,432,144,72,3,120,2718,282,8.795,0.8035131195776034,4
"Chandramohan et al., 2025",acad8dbfe68453bbe86deaac24b75ea7,347,424.6,200000,1.83,4000,240,65,65,15,15,5.49,elongated,432,144,72,1,120,2000,,10.6675,0.9318932342280422,4
"Chandramohan et al., 2025",bdd95f93fff398856e2d718424eaec71,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,522,174,87,1,145,3000,,13.5175,1.3330760168372489,4
"Chandramohan et al., 2025",be4be35294a8566470750a2aa0870f82,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,348,174,87,1,145,3000,,15.067499999999999,1.5411332410491538,4
"Chandramohan et al., 2025",bf9141d1d5e972e6ac07dfdd3d77aed3,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,435,145,72.5,1,145,3000,,15.3325,1.1371418850199244,4
"Chandramohan et al., 2025",c617f30653fa0f185c22161c0b2a62b0,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,288,144,72,1,120,3000,,10.41,0.15811388300841947,4
"Chandramohan et al., 2025",c9569ab083fca0d777de5affdb50c53f,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,192,96,48,1,120,3000,,11.6625,0.5152588346323302,4
"Chandramohan et al., 2025",cb8bba0ebdf2b8f24012e4eef253f1a1,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,348,174,87,3,145,2592,408,14.7125,1.3973158793439187,4
"Chandramohan et al., 2025",ce18f7262e7c08225218a62d1835e574,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,240,96,48,3,120,2430,570,11.23,0.7667246354896039,4
"Chandramohan et al., 2025",dbea8d54260120b55ccb167468cfd0a3,347,424.6,200000,1.83,4000,240,65,65,15,15,5.49,elongated,192,96,48,1,120,2000,,12.69,0.986813052203911,4
"Chandramohan et al., 2025",dca14988b4f1fa478dad1bdc7855d8c1,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,240,96,48,1,120,3000,,11.3975,0.6851946195546691,4
"Chandramohan et al., 2025",e673cac1a62758dc197dc18bc191f946,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,192,96,48,3,120,2478,570,11.475,0.523481932193781,4
"Chandramohan et al., 2025",eb6ba40bfc4c49967977c0980db5575a,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,435,174,87,3,145,2722.5,277.5,13.925,1.297446209546534,4
"Chandramohan et al., 2025",f5814afc550613e91b5d98ff95df50a8,347,424.6,200000,2.11,4000,290,65,65,15,15,6.33,elongated,290,116,58,1,145,2000,,18.63,1.3875397892192733,4
"Chandramohan et al., 2025",fa2f4ff05f6cc78261f9adaf55d8357b,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,360,120,60,3,120,2610,390,9.8525,0.9750341874348135,4
"Chandramohan et al., 2025",fbd1fa24cec5dd06582e6970f5ac1806,347,424.6,200000,2.11,4000,290,65,65,15,15,6.33,elongated,435,174,87,1,145,2000,,16.895,1.4772384145199218,4
"Chandramohan et al., 2025",fd64c2006a42e1fe9eafbc7b96757843,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,300,120,60,3,120,2520,480,10.41,1.0867995828731878,4
Moen et al. 2013,233d85fa7420729645d7dea825d46382,375,431.24999999999994,203500,1.76,4878,202.9,63.4,62.7,13.7,15.4,5.375,rectangle,152.3,172.1,,3,101.81,1980,457.3,8.6,,1
Moen et al. 2013,3e9b838875af5ffcbef564b1f3cf7a64,375,431.24999999999994,203500,1.78,4878,203.1,62.7,63.5,15.2,14,4.675,no_hole,,,,,,,,12.5,,1
Moen et al. 2013,5113354e09b506b678f1d791ef7652ab,363,417.45,203500,1.77,4878,203.2,62.8,63.4,15.3,14,4.875,no_hole,,,,,,,,12.6,,1
Moen et al. 2013,52c19f1e40e6d88ab8ebc127867568b5,376,432.4,203500,1.76,4878,203.1,63.4,62.6,14,15.2,4.8,rectangle,152.3,172.1,,3,101.81,1980,457.3,8.6,,1
Moen et al. 2013,5ae768355bf924611bcd8bcb2c6ce376,366,420.9,203500,1.77,4878,203,62.7,63.5,15.5,13.8,5.075,rectangle,152.3,136.7,,3,100.68,1980,457.3,9.7,,1
Moen et al. 2013,62b527e289ae0bbe8b1ff833ee147b41,364,418.59999999999997,203500,1.76,4878,203.3,62.7,63.5,15.4,14.2,4.75,no_hole,,,,,,,,12.5,,1
Moen et al. 2013,6eda23ed8c89dc3efc783b5c7437013b,363,417.45,203500,1.75,4878,203.1,63.5,62.7,14.3,15.3,4.85,rectangle,152.3,172.1,,3,101.45,1980,457.3,8.6,,1
Moen et al. 2013,722e8a2b23f12400a7252b084cf39965,363,417.45,203500,1.77,4878,203.1,62.8,63.6,15.1,14,5.3,rectangle,152.3,172.1,,3,101.21,1980,457.3,8.6,,1
Moen et al. 2013,801c5b5fcdc8a3fffe875c61a3974ce2,380,436.99999999999994,203500,1.76,4878,203,63,63.4,15.4,13.9,4.475,no_hole,,,,,,,,12.6,,1
Moen et al. 2013,8d96cdf4e8e5be69709993392397d18b,363,417.45,203500,1.77,4878,203.1,62.6,63.6,15.3,13.9,5,rectangle,152.3,136.7,,3,101.35,1980,457.3,10.5,,1
Moen et al. 2013,925eaa4e43c91e2c1318e612b4485383,360,413.99999999999994,203500,1.77,4878,203,63.5,62.9,14,15.2,4.825,rectangle,152.3,172.1,,3,101.11,1980,457.3,8.2,,1
Moen et al. 2013,99c4d91393de131b2220bb65ce2d93de,378,434.7,203500,1.78,4878,203.1,62.7,63.5,13.1,14.2,4.9,no_hole,,,,,,,,13.0,,1
Moen et al. 2013,9f43d642b147019285fea1e9d1f51d5b,365,419.74999999999994,203500,1.76,4878,203,63.7,62.6,13.7,15.6,5.175,rectangle,152.3,136.7,,3,101.51,1980,457.3,9.7,,1
Moen et al. 2013,b14a25ddf0122612f61676e02b46d615,371,426.65,203500,1.77,4878,203,62.7,63.4,15.3,14.1,4.425,no_hole,,,,,,,,13.0,,1
Moen et al. 2013,c9df794b45fbc62dac645ed6a88fcf89,368,423.2,203500,1.76,4878,203.1,62.7,63.6,15.4,13.9,4.875,rectangle,152.3,136.7,,3,100.93,1980,457.3,10.5,,1
Moen et al. 2013,d77386f06a27ab0a799c5cd098e6ef10,364,418.59999999999997,203500,1.76,4878,203,62.7,63.4,15,13.7,4.275,rectangle,152.3,172.1,,3,101.11,1980,457.3,8.2,,1
Moen et al. 2013,f5a622845c56b3e0e8549d2d7a184b05,369,424.34999999999997,203500,1.78,4878,202.9,62.8,63.4,15.6,13.6,4.875,rectangle,152.3,136.7,,3,100.75,1980,457.3,10.8,,1
Moen et al. 2013,f9fca1cba20bfaa1da7db0a420096f77,370,425.49999999999994,203500,1.77,4878,203,62.8,63.4,15.5,13.8,4.85,rectangle,152.3,136.7,,3,101.41,1980,457.3,10.8,,1
Oruç 1 2025,00bde8bb63cc6e6f011903e60708633e,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,150,140,,1,90,725,,9.22,,1
Oruç 1 2025,0218c422191c1e3a7aef83b2ef029cd9,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,600,120,,1,90,950,,9.17,,1
Oruç 1 2025,071d88582766ac2d457112edb3cdde2a,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,300,75,,1,90,800,,11.42,,1
Oruç 1 2025,0b5e413bb6ffe7a1bd58495311c29eca,326.5,331.2,202800,2.5,4470,180,64,64,28,28,7.5,square,160,160,,1,90,730,,9.47,,1
Oruç 1 2025,0b70e10618517fe44ada3cdfe182581d,326.5,331.2,202800,1,4470,180,64,64,28,28,3,square,160,160,,1,90,730,,2.69,,1
Oruç 1 2025,0c01e483d1fdfb5367057ae220df583d,326.5,331.2,202800,1,4470,180,64,64,28,28,3,square,75,75,,1,90,687.5,,4.42,,1
Oruç 1 2025,0e1fc47ca72108cbde3385ff408a12e6,326.5,331.2,202800,1,4470,180,64,64,28,28,3,square,120,120,,1,90,710,,3.92,,1
Oruç 1 2025,117924ca09cf62a6681f91b4510207d1,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,1200,75,,1,90,710,,7.79,,1
Oruç 1 2025,118ea09657229aabf130cb841810c704,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,100,100,,2,90,100,1100,9.69,,1
Oruç 1 2025,11e5643d2078b0dbb2f55fe74a9494ff,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,160,160,,2,90,406.5,487,7.62,,1
Oruç 1 2025,135c827de4c0de62be3e2d0558a446b3,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,300,160,,1,90,800,,6.46,,1
Oruç 1 2025,1780b905cdc1eec8079000dbbc3afeb7,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,150,75,,1,90,725,,11.49,,1
Oruç 1 2025,189b9e5d2c7b5411b96af6e7726e4eab,326.5,331.2,202800,3.5,4470,180,64,64,28,28,10.5,square,160,160,,1,90,730,,14.14,,1
Oruç 1 2025,1a68b5a3c8c5a6a524ae55396f745000,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,600,140,,1,90,950,,7.54,,1
Oruç 1 2025,1ebe50cc131866591957cfa58a388c84,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,1200,120,,1,90,1250,,5.93,,1
