JOURNAL TITLE,geometry_signature,Fy,Fu,E,t,L,bw,bf1,bf2,bl1,bl2,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,target_mean,target_std,replicate_count
"Zhao et al., 2019",768ec5f2cce05cb578fe63961224705f,398,544,206000,2.5,3600,180,80,80,20,20,7.5,rectangle,100,72,,3,90,300,300,15.52,,1
"Zhao et al., 2019",79041a84f5eeb88feead5c2fbe84cd0f,398,544,206000,2.5,3600,180,80,80,40,40,7.5,rectangle,100,36,,3,90,300,300,19.57,,1
"Zhao et al., 2019",7c5c4284e888fb4dc64dd92c0a1d29fb,398,544,206000,2,3600,200.1,79.3,79.4,39.5,39.3,6,rectangle,99.93333333,159.8333333,,3,100.05,299.9333333,299.9666667,14.565,,1
"Zhao et al., 2019",7f89dfae3d7bb53ad33c5263a4f577a6,398,544,206000,2,3600,199.3,79.3,79.3,19.2,19.1,6,rectangle,100.1333333,40.06666667,,3,99.65,300.1333333,300.0666667,14.315,,1
"Zhao et al., 2019",88771f476c0f4e601b1ad58b957762f4,398,544,206000,2,3600,200,80,80,40,40,6,rectangle,100,80,,3,100,300,300,16.33,,1
"Zhao et al., 2019",88a7cc302d6e85a5621dffd9b7aa57b7,398,544,206000,3,3600,220,80,80,40,40,9,rectangle,100,132,,3,110,300,300,27.99,,1
"Zhao et al., 2019",8af53d577f6911d743bad0cb87e2f7a3,398,544,206000,3,3600,180,80,80,20,20,9,rectangle,100,144,,3,90,300,300,14.71,1.9798989873223316,2
"Zhao et al., 2019",8e1e4da00ae1b8db1c3f421ab9aa7eb9,398,544,206000,2,3600,199.6,79.8,79.4,19.1,18.9,6,no_hole,,,,,,,,15.227,,1
"Zhao et al., 2019",9129be87475755a0beb1c9a4c50c8ad7,398,544,206000,3,3600,220,80,80,20,20,9,rectangle,100,176,,3,110,300,300,20.57,,1
"Zhao et al., 2019",917e9509fb92ca5c12dfd3cc38d47756,398,544,206000,2,3600,180,80,80,40,40,6,rectangle,100,108,,3,90,300,300,12.56,,1
"Zhao et al., 2019",92a3d3883c0f23ca4234d14cc236d098,398,544,206000,2.5,3600,220,80,80,20,20,7.5,rectangle,100,44,,3,110,300,300,20.35,,1
"Zhao et al., 2019",95c940314a854819410e3d923ab05cac,398,544,206000,2.5,3600,200,80,80,20,20,7.5,rectangle,100,120,,3,100,300,300,16.79,,1
"Zhao et al., 2019",97e623f9a79b9cfd5ae97fdb19216891,398,544,206000,2.5,3600,220,80,80,40,40,7.5,rectangle,100,88,,3,110,300,300,24.46,,1
"Zhao et al., 2019",98b9cebf94e1f7269d459e9307fc5565,398,544,206000,2,3600,199.5,79.3,79.4,39.4,39.3,6,rectangle,100.1,120,,3,99.75,300.1,300.05,15.154,,1
"Zhao et al., 2019",9d926c71938c04c9780e1e6abad02266,398,544,206000,2,3600,199.4,79.6,79.8,19.4,19.6,6,rectangle,100.0333333,79.93333333,,3,99.7,300.0333333,300.0166667,14.168,,1
"Zhao et al., 2019",a5b27dcb7ed396823bc4151d72273878,398,544,206000,2,3600,199.4,80,80,39.4,39.9,6,rectangle,99.9,79.86666667,,3,99.7,299.9,299.95,16.333,,1
"Zhao et al., 2019",b5fd3504f052845382bbc7c6624503fe,398,544,206000,2,3600,199.3,79.3,79.4,19.1,19.2,6,rectangle,99.93333333,79.9,,3,99.65,299.9333333,299.9666667,14.168,,1
"Zhao et al., 2019",b68887466919ef91ded4db5d1b00d9be,398,544,206000,2.5,3600,200,80,80,20,20,7.5,rectangle,100,160,,3,100,300,300,15.24,,1
"Zhao et al., 2019",b7f999729e6e915bd47855a1120a76ce,398,544,206000,2.5,3600,180,80,80,20,20,7.5,rectangle,100,108,,3,90,300,300,14.81,,1
"Zhao et al., 2019",b81c5be9c51698bb78f329624a95213c,398,544,206000,3,3600,220,80,80,20,20,9,rectangle,100,132,,3,110,300,300,23.21,,1
"Zhao et al., 2019",b865b4e33dbbfbfcc95e8aa99c2f77c5,398,544,206000,2.5,3600,200,80,80,40,40,7.5,rectangle,100,40,,3,100,300,300,22.47,,1
"Zhao et al., 2019",bf5ffda00e46c04327992482d0449edc,398,544,206000,2,3600,199.4,79.2,79.4,39.4,39.3,6,rectangle,100.1333333,40.1,,3,99.7,300.1333333,300.0666667,16.684,,1
"Zhao et al., 2019",c0aa7f4da5cab867c5511b07f2623365,398,544,206000,2,3600,220,80,80,20,20,6,rectangle,100,132,,3,110,300,300,13.95,,1
"Zhao et al., 2019",c351fda9992c55baa66cb6d99edcb4f9,398,544,206000,2.5,3600,200,80,80,40,40,7.5,rectangle,100,120,,3,100,300,300,19.96,,1
"Zhao et al., 2019",c7ddd43e7934cc20410b10027a4ef5c8,398,544,206000,2,3600,220,80,80,20,20,6,rectangle,100,88,,3,110,300,300,14.76,,1
"Zhao et al., 2019",ca8fd7f355078ad26e6800fba05d9088,398,544,206000,2,3600,200,80,80,40,40,6,rectangle,100,160,,3,100,300,300,14.57,,1
"Zhao et al., 2019",d1254b3c1872f9a697c2787a4835e98b,398,544,206000,3,3600,220,80,80,20,20,9,rectangle,100,88,,3,110,300,300,24.6,,1
"Zhao et al., 2019",d1cac1256a4660955a1a3951dc3a630a,398,544,206000,2,3600,199.5,79.2,79.4,39.4,39.3,6,rectangle,100.1,40.06666667,,3,99.75,300.1,300.05,16.684,,1
"Zhao et al., 2019",d4faf1ba6159c8615fbda1a4c878391b,398,544,206000,2,3600,220,80,80,40,40,6,rectangle,100,132,,3,110,300,300,16.27,,1
"Zhao et al., 2019",dcb7b88eea034e8d21e43db7d504372e,398,544,206000,2.5,3600,220,80,80,40,40,7.5,rectangle,100,176,,3,110,300,300,19.25,,1
"Zhao et al., 2019",e6e1a7f62fe54b372d4f496c61bce24c,398,544,206000,2,3600,180,80,80,20,20,6,rectangle,100,72,,3,90,300,300,11.41,,1
"Zhao et al., 2019",f221044dcaf53b162ae2a832e2b67911,398,544,206000,2,3600,199.7,79.4,79.5,19.2,19.2,6,rectangle,100.0666667,40,,3,99.85,300.0666667,300.0333333,14.315,,1
"Zhao et al., 2019",f39d668db8494166b128af54941f5b7d,398,544,206000,2,3600,199.3,79.3,79.4,19.2,19.2,6,rectangle,99.93333333,159.9,,3,99.65,299.9333333,299.9666667,13.271,,1
"Zhao et al., 2019",f599ae623b27896ff228bdeea8489245,398,544,206000,2.5,3600,200,80,80,20,20,7.5,rectangle,100,40,,3,100,300,300,18.37,,1
"Zhao et al., 2019",f89240913bfab5a20448ebdedf54cf20,398,544,206000,2,3600,199.4,79.9,79.5,19.5,19.7,6,rectangle,99.8,119.9333333,,3,99.7,299.8,299.9,13.8,,1
"Zhao et al., 2019",f930edc0d774c54b9122a447ad993648,398,544,206000,2,3600,180,80,80,40,40,6,rectangle,100,36,,3,90,300,300,14.56,,1
"Zhao et al., 2019",fa224eb49973c3376e79bf28e8b07042,398,544,206000,3,3600,180,80,80,20,20,9,rectangle,100,36,,3,90,300,300,20.24,,1
"Zhao et al., 2019",fa3c1ef2ac24571a5b7af5426d4aaa11,398,544,206000,2,3600,199.8,79.5,79.6,39.4,39.4,6,rectangle,100,160,,3,99.9,300,300,14.565,,1
"Zhao et al., 2019",fca74f011145dbb78e2452f03fc6b9ed,398,544,206000,3,3600,180,80,80,20,20,9,rectangle,100,108,,3,90,300,300,18.29,,1
"Zhao et al., 2019",fdcb93632e9f07cfc87869444c38bd1f,398,544,206000,3,3600,200,80,80,20,20,9,rectangle,100,40,,3,100,300,300,22.87,,1
